Song,Artist,Writer(s),Original release,Year,Ref.
"""Road Trip"" (hidden track)",The Fireman,Paul McCartney,Electric Arguments,2008,[97]
"""Rock Show""",Wings,Paul McCartneyLinda McCartney,Venus and Mars,1975,[85]
"""Rockestra Theme""",Wings,Paul McCartney,Back to the Egg,1979,[50]
"""Rode All Night""",Paul and Linda McCartney,Paul McCartney,Ram (Archive Collection),2012,[121]
"""A Room with a View""(Noël Coward cover)",Paul McCartney,Noël Coward,Twentieth-Century Blues: The Songs of Noël Coward,1998,[155]
"""Rough Ride""",Paul McCartney,Paul McCartney,Flowers in the Dirt,1989,[101]
"""Rudolph the Red-Nosed Reggae""",Paul McCartney,Johnny Marks,"B-side to ""Wonderful Christmastime""",1979,[156]
"""Run Devil Run""",Paul McCartney,Paul McCartney,Run Devil Run,1999,[55]
"""Sally G.""",Wings,Paul McCartneyLinda McCartney,"B-side to ""Junior's Farm""",1974,[136]
"""Same Love""",Paul McCartney,Paul McCartney,"B-side to ""Beautiful Night"" (CD2)",1997,[157]
"""Same Time, Next Year""",Wings,Paul McCartney,"B-side to ""Put It There""",1990,[144]
"""San Ferry Anne""",Wings,Paul McCartneyLinda McCartney,Wings at the Speed of Sound,1976,[74]
"""San Francisco Bay Blues"" (live)(Jesse Fuller cover)",Paul McCartney,Jesse Fuller,Unplugged (The Official Bootleg),1991,[51]
"""Save Us""",Paul McCartney,Paul McCartneyPaul Epworth,New,2013,[57]
"""Say Say Say""",Paul McCartneyand Michael Jackson,Paul McCartneyMichael Jackson,Pipes of Peace,1983,[63]
"""Scared"" (hidden track)",Paul McCartney,Paul McCartney,New,2013,[57]
"""Seaside Woman""",Suzy and the Red Stripes[b],Linda McCartney,Non-album single,1977,[64]
"""Secret Friend""",Paul McCartney,Paul McCartney,"B-side to ""Temporary Secretary""",1980,[158]
"""See Your Sunshine""",Paul McCartney,Paul McCartney,Memory Almost Full,2007,[98]
"""Sgt. Pepper's Lonely Hearts Club Band""[g]",Paul McCartneyand U2,John LennonPaul McCartney,Non-album single,2005,[159]
"""Shake a Hand""(Faye Adams cover)",Paul McCartney,Joe Morris,Run Devil Run,1999,[55]
"""Shallow Grave"" (demo)",Paul McCartney,Paul McCartneyDeclan MacManus,Flowers in the Dirt (Archive Collection),2017,[126]
"""She Got It Good"" (home recording)",Wings,Paul McCartney,Wild Life (Archive Collection),2018,[49]
"""She Is So Beautiful""",Paul McCartney,Paul McCartney,Chaos and Creation in the Backyard(Japanese edition),2005,[60]
"""She Said Yeah""(Larry Williams cover)",Paul McCartney,Larry Williams,Run Devil Run,1999,[55]
"""She's Given Up Talking""",Paul McCartney,Paul McCartney,Driving Rain,2001,[47]
"""She's My Baby""",Wings,Paul McCartney,Wings at the Speed of Sound,1976,[74]
"""Silly Love Songs""[d]",Wings,Paul McCartneyLinda McCartney,Wings at the Speed of Sound,1976,[74]
"""Silly Love Songs (Reprise)""",Paul McCartney,Paul McCartney,Give My Regards to Broad Street,1984,[70]
"""Simple as That""",Paul McCartney,Paul McCartney,The Anti-Heroin Project – It's a Live-in World,1986,[160]
"""Sing the Changes""",The Fireman,Paul McCartney,Electric Arguments,2008,[97]
"""Singing the Blues"" (live)(Marty Robbins cover)",Paul McCartney,Melvin Endsley,Unplugged (The Official Bootleg),1991,[51]
"""Single Pigeon""",Paul McCartneyand Wings,Paul McCartneyLinda McCartney,Red Rose Speedway,1973,[75]
"""Sixty Second Street""",Paul McCartney,Paul McCartney,Egypt Station (Explorer's edition),2019,[110]
"""Smile Away""",Paul and Linda McCartney,Paul McCartney,Ram,1971,[43]
"""So Bad""[d]",Paul McCartney,Paul McCartney,Pipes of Peace,1983,[63]
"""So Glad to See You Here""",Wings,Paul McCartney,Back to the Egg,1979,[50]
"""So Like Candy"" (demo)",Paul McCartney,Paul McCartneyDeclan MacManus,Flowers in the Dirt (Archive Collection),2017,[126]
"""Soggy Noodle""",Paul McCartney,Paul McCartney,"B-side to ""Off the Ground""",1993,[94]
"""Soily"" (live)",Wings,Paul McCartneyLinda McCartney,Wings over America,1976,[118]
"""Some People Never Know""",Wings,Paul McCartneyLinda McCartney,Wild Life,1971,[78]
"""Somebody Who Cares""",Paul McCartney,Paul McCartney,Tug of War,1982,[71]
"""Somedays""",Paul McCartney,Paul McCartney,Flaming Pie,1997,[73]
"""Something That Didn't Happen"" (demo)",Paul McCartney,Paul McCartney,Tug of War (Archive Collection),2015,[161]
"""The Song We Were Singing""",Paul McCartney,Paul McCartney,Flaming Pie,1997,[73]
"""Souvenir""",Paul McCartney,Paul McCartney,Flaming Pie,1997,[73]
"""Spies Like Us""",Paul McCartney,Paul McCartney,Non-album single,1985,[162]
"""Spin It On""",Wings,Paul McCartney,Back to the Egg,1979,[50]
"""Spinning on an Axis""",Paul McCartney,Paul McCartneyJames McCartney,Driving Rain,2001,[47]
"""Spirits of Ancient Egypt""",Wings,Paul McCartneyLinda McCartney,Venus and Mars,1975,[85]
"""Squid""",Paul McCartney,Paul McCartney,Oobu Joobu,1995,[61][62]
"""Station II""",Paul McCartney,Paul McCartney,Egypt Station,2018,[66]
"""Stop, You Don't Know Where She Came From"" (demo)",Paul McCartney,Paul McCartney,Tug of War (Archive Collection),2015,[161]
"""Stranglehold""",Paul McCartney,Paul McCartneyEric Stewart,Press to Play,1986,[58]
"""Strawberries Oceans Ships Forest""",The Fireman,Paul McCartneyYouth,Strawberries Oceans Ships Forest,1993,[44]
"""Struggle""",Paul McCartney,Paul McCartney,New (Japanese edition),2013,[163]
"""Style Style""",Paul McCartney,Paul McCartney,"B-side to ""Off the Ground""",1993,[94]
"""Suicide""",Paul McCartney,Paul McCartney,McCartney (Archive Collection),2011,[164]
"""Summer of '59""",Paul McCartney,Paul McCartney,"B-side to ""Jenny Wren"" (7"" single)",2005,[165]
"""Summer's Day Song""",Paul McCartney,Paul McCartney,McCartney II,1980,[80]
"""Summertime""(Billie Holiday cover)",Paul McCartney,George Gershwin,CHOBA B CCCP,1988,[52]
"""Sun Is Shining""",The Fireman,Paul McCartney,Electric Arguments,2008,[97]
"""Sunrise Mix""",The Fireman,Paul McCartneyYouth,Strawberries Oceans Ships Forest,1993,[44]
"""Sunshine Sometime""",Paul and Linda McCartney,Paul McCartney,Ram (Archive Collection),2012,[121]
"""Sweet Sweet Memories""",Paul McCartney,Paul McCartney,"B-side to ""Off the Ground""",1993,[94]
"""Sweetest Little Show""",Paul McCartney,Paul McCartney,Pipes of Peace,1983,[63]
"""Take It Away""",Paul McCartney,Paul McCartney,Tug of War,1982,[71]
"""Talk More Talk""",Paul McCartney,Paul McCartney,Press to Play,1986,[58]
"""Teddy Boy""",Paul McCartney,Paul McCartney,McCartney,1970,[105]
"""Temporary Secretary""",Paul McCartney,Paul McCartney,McCartney II,1980,[80]
"""Thank You Darling""",Paul McCartneyand Wings,Paul McCartneyLinda McCartney,Red Rose Speedway (Archive Collection),2018,[41]
"""That Day Is Done""",Paul McCartney,Paul McCartneyDeclan MacManus,Flowers in the Dirt,1989,[101]
"""That Was Me""",Paul McCartney,Paul McCartney,Memory Almost Full,2007,[98]
"""That Would Be Something""",Paul McCartney,Paul McCartney,McCartney,1970,[105]
"""That's All Right Mama""[r](Arthur Crudup cover)",Paul McCartney,Arthur Crudup,CHOBA B CCCP,1988,[52]
"""This Loving Game""",Paul McCartney,Paul McCartney,"B-side to ""Jenny Wren"" (CD single)",2005,[130]
"""This Never Happened Before""",Paul McCartney,Paul McCartney,Chaos and Creation in the Backyard,2005,[60]
"""This One""",Paul McCartney,Paul McCartney,Flowers in the Dirt,1989,[101]
"""Through Our Love""",Paul McCartney,Paul McCartney,Pipes of Peace,1983,[63]
"""Time to Hide""",Wings,Denny Laine,Wings at the Speed of Sound,1976,[74]
"""Tiny Bubble""",Paul McCartney,Paul McCartney,Driving Rain,2001,[47]
"""Tommy's Coming Home"" (demo)",Paul McCartney,Paul McCartneyDeclan MacManus,Flowers in the Dirt (Archive Collection),2017,[126]
"""Tomorrow""",Wings,Paul McCartneyLinda McCartney,Wild Life,1971,[78]
"""Too Many People""",Paul and Linda McCartney,Paul McCartney,Ram,1971,[43]
"""Too Much Rain""",Paul McCartney,Paul McCartney,Chaos and Creation in the Backyard,2005,[60]
"""Tough on a Tightrope""",Paul McCartney,Paul McCartneyEric Stewart,"B-side to ""Only Love Remains""",1986,[167]
"""To You""",Wings,Paul McCartney,Back to the Egg,1979,[50]
"""Tragedy""(Thomas Wayne and the DeLons cover)",Paul McCartneyand Wings,Gerald NelsonFred Burch,Red Rose Speedway (Archive Collection),2018,[41]
"""Trans Lunar Rising""",The Fireman,Paul McCartneyYouth,Strawberries Oceans Ships Forest,1993,[44]
"""Transcrystaline""",The Fireman,Paul McCartneyYouth,Strawberries Oceans Ships Forest,1993,[44]
"""Transpiritual Stomp""",The Fireman,Paul McCartneyYouth,Strawberries Oceans Ships Forest,1993,[44]
"""Travelling Light""",The Fireman,Paul McCartney,Electric Arguments,2008,[97]
